,Time,Source,Destination,Protocol,Length,Info
65,1.608.639,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
67,1.698.023,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
141,4.678.391,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
143,4.773.091,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
187,7.835.439,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
189,7.935.968,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
285,10.981.825,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
287,11.070.442,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
346,14.098.176,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
348,14.189.076,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
391,17.220.801,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
393,17.316.014,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
448,20.365.058,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
450,20.455.397,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
498,23.484.936,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
500,23.578.478,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
535,26.542.805,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
537,26.631.972,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
583,29.598.229,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
585,29.687.459,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
638,31.014.004,192.168.0.15,23.37.987.5,HTTP,267,GET /pt-BR/livetile/preinstall?region=BR&appid=C98EA5B0842DBB9405BBF071E1DA76512D21FE36&FORM=Threshold HTTP/1.1 
661,32.725.785,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
663,32.816.785,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
702,35.838.569,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
704,35.928.306,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
763,38.959.793,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
766,39.049.365,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
816,42.064.926,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
818,42.154.683,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
855,45.146.012,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
857,45.235.144,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
922,48.236.850,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
924,48.650.687,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
977,51.800.765,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1031,55.260.641,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1033,55.349.672,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1068,58.379.204,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1070,58.471.751,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1137,61.520.665,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1139,61.609.625,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1174,64.672.596,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1176,64.762.658,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1227,67.793.919,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1229,67.885.624,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1276,70.952.764,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1278,71.041.261,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1321,74.040.331,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1323,74.131.892,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1374,77.177.500,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1377,77.269.299,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1430,80.308.635,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1434,80.397.269,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1476,83.455.047,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1478,83.544.331,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1526,86.595.254,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1528,86.684.128,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1564,89.711.677,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1566,89.814.318,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1618,92.877.159,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1619,92.966.790,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1661,96.039.109,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1663,96.127.272,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1698,99.162.373,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1700,99.253.879,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1742,102.342.983,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1744,102.434.140,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1787,105.475.560,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1789,105.565.967,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1850,108.586.690,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1852,108.675.489,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1920,111.737.933,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1922,111.831.601,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
1959,114.897.533,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
1961,115.007.653,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2014,118.009.453,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2016,118.133.809,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2071,121.178.915,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2073,121.268.195,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2124,124.254.110,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2126,124.343.911,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2169,127.371.682,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2171,127.460.006,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2212,130.472.769,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2214,130.562.694,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2253,133.526.126,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2255,133.659.317,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2292,136.714.495,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2294,136.815.245,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2337,139.784.956,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2339,139.873.254,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2381,142.955.610,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2383,143.045.420,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
9878,146.088.625,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2420,146.180.164,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2488,149.219.140,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2490,149.308.783,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2559,153.363.195,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2561,153.471.388,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2598,156.496.767,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2600,156.590.892,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2640,159.610.299,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2642,159.711.636,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2704,162.770.093,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2706,162.878.746,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2751,165.883.491,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2753,165.972.885,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2795,169.039.851,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2797,169.129.358,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2851,172.184.529,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2853,172.274.228,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
2889,175.329.636,192.168.0.15,54.196.195.73,HTTP/JSON,987,"POST /device/dw36g HTTP/1.1 , JavaScript Object Notation (application/json)"
2891,175.422.670,54.196.195.73,192.168.0.15,HTTP/JSON,285,"HTTP/1.1 200 OK , JavaScript Object Notation (application/json)"
