No.,Time,Source,Destination,Protocol,Length,Info
740,2.773.271,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
742,2.873.629,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
743,2.874.010,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
744,2.874.335,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
750,3.025.755,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
752,3.115.941,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
753,3.116.342,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
754,3.116.648,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
760,3.267.347,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
762,3.356.468,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
763,3.356.856,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
764,3.357.188,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
771,3.516.634,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
773,3.611.484,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
774,3.611.935,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
775,3.612.234,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
782,3.773.796,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
784,3.863.748,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
785,3.864.167,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
786,3.864.469,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
792,4.009.749,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
794,4.100.158,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
795,4.100.539,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
796,4.100.844,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
802,4.256.459,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
804,4.345.928,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
805,4.346.298,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
806,4.346.611,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
814,4.509.852,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
816,4.598.749,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
817,4.599.153,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
818,4.599.460,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
828,4.749.992,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
833,4.839.593,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
834,4.839.987,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
835,4.840.249,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
950,4.994.986,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1340,5.436.243,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1341,5.436.419,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1484,5.589.781,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1587,5.715.806,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1589,5.716.240,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1591,5.716.587,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1677,5.878.979,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1680,5.968.241,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1681,5.968.432,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1682,5.968.547,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1689,6.085.091,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1691,6.175.554,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1692,6.175.980,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1693,6.176.308,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1700,6.322.366,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1702,6.412.407,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1703,6.412.870,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1704,6.413.296,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1710,6.564.192,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1712,6.654.394,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1713,6.654.798,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1714,6.655.063,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1721,6.805.264,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1723,6.895.173,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1724,6.895.562,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1725,6.895.836,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1732,7.050.628,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1737,7.147.705,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1738,7.148.275,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1739,7.148.507,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1749,7.293.207,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1773,7.382.338,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1774,7.382.735,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1775,7.383.004,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1803,7.553.433,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1813,7.642.421,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1814,7.642.841,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1815,7.643.112,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1822,7.804.371,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1824,7.894.034,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1825,7.894.514,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1826,7.894.827,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1833,8.046.786,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1835,8.137.331,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1836,8.137.818,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1837,8.138.089,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1844,8.293.250,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1846,8.382.966,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1847,8.383.438,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1848,8.383.789,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1855,8.535.697,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1857,8.625.988,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1858,8.626.554,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1859,8.627.004,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1866,8.775.370,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
1868,8.864.431,54.167.73.213,192.168.0.15,MQTT,58,Connect Ack
1869,8.864.837,192.168.0.15,54.167.73.213,MQTT,992,Publish Message [/admin/e013eb/attrs]
1870,8.865.111,192.168.0.15,54.167.73.213,MQTT,56,Disconnect Req
1876,9.020.013,192.168.0.15,54.167.73.213,MQTT,82,Connect Command
